epoch,train_loss,train_acc,val_loss,val_acc
1,1.305873,0.548204,1.581879,0.704545
2,0.723765,0.797732,1.324401,0.803030
3,0.545048,0.835539,0.730351,0.840909
4,0.400779,0.858223,0.632539,0.840909
5,0.373592,0.886578,0.932094,0.628788
6,0.322783,0.903592,1.083915,0.446970
7,0.274734,0.886578,0.476314,0.878788
8,0.192837,0.943289,0.772303,0.606061
9,0.137540,0.962193,0.624119,0.757576
10,0.085995,0.971645,0.448903,0.924242
11,0.061231,0.984877,0.529401,0.924242
12,0.056723,0.984877,0.599275,0.818182
13,0.074134,0.986767,0.418233,0.893939
14,0.094869,0.981096,3.245902,0.424242
15,0.098872,0.984877,1.061488,0.757576
16,0.082095,0.977316,1.267409,0.878788
17,0.184834,0.971645,1.092624,0.787879
18,0.183385,0.905482,3.599696,0.818182
19,0.179047,0.943289,2.422581,0.833333
20,0.195805,0.928166,0.878257,0.818182
21,0.171513,0.948960,1.037995,0.454545
22,0.144431,0.954631,0.779651,0.598485
23,0.103318,0.962193,0.707855,0.818182
24,0.227955,0.850662,1.096646,0.856061
25,0.156040,0.950851,1.185532,0.886364
26,0.121570,0.954631,0.805786,0.893939
27,0.089070,0.964083,0.904560,0.803030
28,0.056674,0.977316,0.821819,0.795455
29,0.044825,0.981096,0.890787,0.636364
30,0.033764,0.988658,0.658397,0.931818
31,0.022133,0.992439,0.607478,0.833333
32,0.024240,0.988658,0.544658,0.924242
33,0.015859,0.996219,0.609657,0.878788
34,0.069623,0.964083,0.746727,0.840909
35,0.075694,0.984877,1.088110,0.901515
36,0.066903,0.977316,1.068163,0.810606
37,0.057086,0.977316,1.139860,0.909091
38,0.157649,0.977316,2.129470,0.704545
39,0.203943,0.922495,1.255854,0.795455
40,0.113365,0.948960,1.445136,0.848485
41,0.170352,0.920605,1.326471,0.484848
42,0.083406,0.981096,0.868896,0.613636
43,0.129619,0.973535,0.991437,0.659091
44,0.104070,0.956522,1.394149,0.856061
45,0.103715,0.969754,0.947217,0.848485
46,0.027940,0.984877,0.909216,0.681818
47,0.030998,0.998110,0.940366,0.780303
48,0.046233,0.984877,0.978258,0.856061
49,0.039028,0.979206,0.654197,0.924242
50,0.012982,0.992439,0.572799,0.931818
