epoch,train_loss,train_acc,val_loss,val_acc
1,1.359221,0.310019,1.071695,0.750000
2,1.169390,0.372401,0.983840,0.750000
3,1.034731,0.491493,0.901505,0.772727
4,0.938117,0.578450,0.853705,0.810606
5,0.915754,0.627599,0.843458,0.810606
6,0.883723,0.621928,0.871417,0.734848
7,0.745686,0.663516,0.834062,0.780303
8,0.679064,0.708885,0.785499,0.810606
9,0.659381,0.725898,0.766028,0.833333
10,0.681024,0.720227,0.759336,0.818182
11,0.607435,0.744802,0.725737,0.840909
12,0.648608,0.735350,0.719362,0.848485
13,0.609855,0.773157,0.725581,0.787879
14,0.579613,0.778828,0.718410,0.795455
15,0.551036,0.807183,0.698060,0.840909
16,0.524119,0.824197,0.702637,0.840909
17,0.545706,0.826087,0.692495,0.840909
18,0.465097,0.833648,0.667719,0.840909
19,0.455540,0.843100,0.663706,0.840909
20,0.488886,0.829868,0.696376,0.818182
21,0.459187,0.843100,0.701225,0.825758
22,0.446111,0.856333,0.671373,0.863636
23,0.470126,0.865784,0.668605,0.863636
24,0.403138,0.880907,0.666595,0.871212
25,0.378089,0.884688,0.630919,0.878788
26,0.370595,0.880907,0.612711,0.878788
27,0.401679,0.877127,0.631968,0.871212
28,0.370494,0.903592,0.625906,0.871212
29,0.356575,0.875236,0.625237,0.863636
30,0.356282,0.873346,0.638570,0.863636
31,0.372255,0.865784,0.640681,0.878788
32,0.309161,0.905482,0.670382,0.878788
33,0.306033,0.901701,0.641493,0.871212
34,0.326808,0.920605,0.606945,0.863636
35,0.303850,0.905482,0.589201,0.878788
36,0.291427,0.905482,0.608516,0.886364
37,0.268347,0.931947,0.606120,0.878788
38,0.280409,0.918715,0.623374,0.878788
39,0.273697,0.924386,0.645510,0.871212
40,0.307505,0.914934,0.621089,0.871212
41,0.282081,0.907372,0.604542,0.840909
42,0.254348,0.933837,0.613631,0.863636
43,0.248637,0.926276,0.608960,0.863636
44,0.254492,0.926276,0.618724,0.886364
45,0.234673,0.933837,0.596422,0.878788
46,0.204489,0.939509,0.588048,0.886364
47,0.230058,0.941399,0.594804,0.893939
48,0.236287,0.943289,0.579086,0.878788
49,0.198731,0.935728,0.606101,0.878788
50,0.216464,0.939509,0.651950,0.886364
