epoch,train_loss,train_acc,val_loss,val_acc
1,1.416065,0.217391,1.176793,0.219697
2,1.392748,0.221172,1.176245,0.174242
3,1.345574,0.247637,1.152057,0.189394
4,1.291474,0.274102,1.121057,0.257576
5,1.188155,0.296786,1.092155,0.280303
6,1.167420,0.327032,1.076406,0.287879
7,1.134739,0.332703,1.058229,0.431818
8,1.142756,0.366730,1.033130,0.439394
9,1.140813,0.376181,1.024385,0.500000
10,1.062578,0.398866,1.002983,0.568182
11,1.047797,0.440454,0.987383,0.636364
12,1.028684,0.468809,0.996547,0.598485
13,1.047856,0.451796,0.968087,0.689394
14,0.995345,0.531191,0.966385,0.742424
15,0.952444,0.521739,0.958858,0.696970
16,0.984356,0.548204,0.939360,0.765152
17,0.958848,0.536862,0.951066,0.719697
18,0.963713,0.553875,0.928326,0.795455
19,0.929730,0.540643,0.927536,0.818182
20,0.890227,0.616257,0.923926,0.810606
21,0.930943,0.591682,0.896778,0.765152
22,0.892957,0.576560,0.904656,0.772727
23,0.851838,0.657845,0.881758,0.765152
24,0.881939,0.629490,0.880269,0.765152
25,0.865129,0.614367,0.875567,0.787879
26,0.871857,0.614367,0.861606,0.803030
27,0.829565,0.676749,0.860678,0.772727
28,0.883244,0.642722,0.854048,0.825758
29,0.848341,0.686200,0.841387,0.825758
30,0.822707,0.661626,0.829228,0.825758
31,0.802654,0.654064,0.832918,0.833333
32,0.816368,0.706994,0.822040,0.833333
33,0.828035,0.693762,0.828273,0.795455
34,0.840037,0.672968,0.822134,0.803030
35,0.789925,0.697543,0.811176,0.833333
36,0.846283,0.671078,0.795339,0.848485
37,0.790818,0.699433,0.792939,0.833333
38,0.809191,0.718336,0.808554,0.825758
39,0.773113,0.712665,0.781152,0.840909
40,0.830650,0.672968,0.765539,0.840909
41,0.793279,0.703214,0.773906,0.825758
42,0.731613,0.735350,0.816361,0.856061
43,0.720841,0.712665,0.771930,0.848485
44,0.743791,0.737240,0.777819,0.840909
45,0.778419,0.720227,0.783128,0.848485
46,0.740487,0.722117,0.752228,0.863636
47,0.734605,0.742911,0.767720,0.840909
48,0.740058,0.744802,0.745791,0.856061
49,0.743284,0.754253,0.738613,0.856061
50,0.749143,0.741021,0.785137,0.863636
51,0.705610,0.722117,0.768404,0.871212
52,0.729340,0.750473,0.743372,0.863636
53,0.764286,0.716446,0.717171,0.825758
54,0.749710,0.727788,0.726556,0.848485
55,0.709703,0.759924,0.733564,0.856061
56,0.722355,0.767486,0.729218,0.856061
57,0.722659,0.752363,0.751614,0.856061
58,0.673242,0.776938,0.718595,0.856061
59,0.695691,0.767486,0.725529,0.848485
60,0.700121,0.756144,0.718496,0.856061
