epoch,train_loss,train_acc,val_loss,val_acc
1,1.175272,0.270321,1.063845,0.318182
2,0.964569,0.599244,0.924767,0.795455
3,0.795418,0.733459,0.786358,0.825758
4,0.666573,0.731569,0.775703,0.795455
5,0.632231,0.761815,0.697587,0.825758
6,0.542539,0.820416,0.666101,0.833333
7,0.479981,0.860113,0.637688,0.810606
8,0.523788,0.841210,0.632627,0.780303
9,0.457104,0.824197,0.638368,0.803030
10,0.424761,0.852552,0.606636,0.795455
11,0.354622,0.880907,0.560736,0.833333
12,0.395409,0.911153,0.544267,0.833333
13,0.393102,0.877127,0.625138,0.818182
14,0.357337,0.871456,0.561276,0.818182
15,0.318799,0.888469,0.574598,0.878788
16,0.306880,0.899811,0.598619,0.878788
17,0.272462,0.920605,0.623798,0.833333
18,0.277797,0.897921,0.597751,0.825758
19,0.214890,0.926276,0.579240,0.886364
20,0.227622,0.935728,0.596063,0.893939
21,0.235088,0.930057,0.579588,0.863636
22,0.209357,0.905482,0.587075,0.886364
23,0.201837,0.937618,0.663358,0.909091
24,0.211974,0.952741,0.636951,0.856061
25,0.231083,0.933837,0.683811,0.818182
26,0.202542,0.947070,0.498569,0.909091
27,0.199091,0.960302,0.543231,0.871212
28,0.187671,0.931947,0.673649,0.856061
29,0.161664,0.956522,0.746828,0.878788
30,0.146172,0.960302,0.574710,0.878788
31,0.127963,0.965974,0.514232,0.871212
32,0.142569,0.916824,0.591153,0.840909
33,0.115431,0.962193,0.548057,0.916667
34,0.124277,0.973535,0.532074,0.886364
35,0.110183,0.967864,0.582993,0.909091
36,0.126119,0.965974,0.599182,0.878788
37,0.112365,0.975425,0.531638,0.878788
38,0.093284,0.977316,0.449373,0.901515
39,0.086621,0.981096,0.433688,0.909091
40,0.089418,0.973535,0.479971,0.931818
41,0.093167,0.982987,0.580462,0.916667
42,0.095883,0.979206,0.587032,0.871212
43,0.065333,0.981096,0.930380,0.856061
44,0.095907,0.975425,0.696594,0.909091
45,0.054272,0.988658,0.612279,0.909091
46,0.081644,0.973535,0.680563,0.909091
47,0.061479,0.979206,0.669304,0.909091
48,0.072926,0.984877,0.690685,0.901515
49,0.060492,0.984877,0.482485,0.901515
50,0.058574,0.977316,0.519899,0.916667
