epoch,train_loss,train_acc,val_loss,val_acc
1,1.302277,0.364839,1.205604,0.734848
2,0.788909,0.748582,1.228041,0.772727
3,0.607661,0.814745,0.880163,0.856061
4,0.489789,0.822306,0.711359,0.833333
5,0.486942,0.854442,0.637594,0.856061
6,0.361127,0.894140,0.638652,0.803030
7,0.298887,0.901701,0.615331,0.840909
8,0.241228,0.928166,0.543946,0.901515
9,0.223844,0.948960,0.591767,0.893939
10,0.191968,0.943289,0.536990,0.909091
11,0.170844,0.956522,0.532440,0.909091
12,0.132520,0.947070,0.559987,0.878788
13,0.096969,0.977316,0.503079,0.916667
14,0.097414,0.981096,0.529337,0.901515
15,0.097109,0.979206,0.569076,0.863636
16,0.099207,0.956522,0.627486,0.878788
17,0.101342,0.979206,0.654767,0.878788
18,0.070578,0.973535,0.583863,0.924242
19,0.093038,0.973535,0.633664,0.909091
20,0.076062,0.979206,0.535801,0.893939
21,0.049557,0.994329,0.471580,0.916667
22,0.060835,0.992439,0.562388,0.901515
23,0.193050,0.969754,0.732908,0.878788
24,0.099065,0.943289,0.609585,0.863636
25,0.081902,0.971645,0.437829,0.931818
26,0.084977,0.964083,0.599284,0.833333
27,0.061156,0.977316,0.828605,0.886364
28,0.038119,0.988658,0.781214,0.893939
29,0.040509,0.984877,0.665102,0.886364
30,0.034377,0.990548,0.713002,0.886364
31,0.016838,1.000000,0.730655,0.909091
32,0.019148,0.998110,0.736979,0.901515
33,0.013166,1.000000,0.678388,0.893939
34,0.017490,0.996219,0.609300,0.878788
35,0.013750,0.996219,0.558976,0.909091
36,0.012021,1.000000,0.681784,0.901515
37,0.010765,1.000000,0.691771,0.893939
38,0.010101,0.998110,0.662266,0.901515
39,0.008616,1.000000,0.707056,0.909091
40,0.009063,1.000000,0.756848,0.909091
41,0.014674,0.994329,0.646376,0.931818
42,0.007640,1.000000,0.701766,0.886364
43,0.008604,1.000000,0.682941,0.893939
44,0.008088,1.000000,0.732276,0.901515
45,0.007990,1.000000,0.675218,0.924242
46,0.005131,1.000000,0.637524,0.916667
47,0.007362,0.998110,0.678564,0.909091
48,0.006245,1.000000,0.788525,0.901515
49,0.007703,1.000000,0.701171,0.893939
50,0.003759,1.000000,0.721682,0.893939
