epoch,train_loss,train_acc,val_loss,val_acc
1,1.810402,0.115312,1.142535,0.090909
2,1.101018,0.398866,0.916109,0.651515
3,1.064262,0.550095,0.794962,0.780303
4,0.866934,0.638941,0.715784,0.878788
5,0.838059,0.718336,0.688852,0.840909
6,0.771088,0.746692,0.678715,0.863636
7,0.715272,0.758034,0.678081,0.878788
8,0.673232,0.765595,0.667921,0.871212
9,0.653071,0.805293,0.647994,0.863636
10,0.608377,0.805293,0.630700,0.863636
11,0.635239,0.807183,0.605125,0.886364
12,0.615134,0.814745,0.618088,0.886364
13,0.659748,0.826087,0.627391,0.886364
14,0.640291,0.812854,0.601329,0.886364
15,0.639024,0.820416,0.632837,0.871212
16,0.582655,0.863894,0.587599,0.863636
17,0.609692,0.809074,0.632849,0.856061
18,0.628221,0.816635,0.658495,0.886364
19,0.639777,0.820416,0.622980,0.871212
20,0.565443,0.839319,0.622949,0.878788
21,0.587311,0.818526,0.606450,0.871212
22,0.595900,0.827977,0.581094,0.863636
23,0.595916,0.852552,0.574546,0.871212
24,0.553948,0.852552,0.593675,0.856061
25,0.625163,0.812854,0.601299,0.863636
26,0.590181,0.829868,0.679217,0.863636
27,0.608462,0.831758,0.690706,0.863636
28,0.577950,0.829868,0.617885,0.886364
29,0.598957,0.816635,0.588119,0.878788
30,0.542391,0.854442,0.597813,0.856061
