epoch,train_loss,train_acc,val_loss,val_acc
1,1.427243,0.211720,1.029469,0.386364
2,1.005166,0.482042,1.020270,0.780303
3,0.859344,0.684310,0.943790,0.787879
4,0.739662,0.727788,0.831372,0.825758
5,0.715478,0.767486,0.740294,0.878788
6,0.611493,0.795841,0.659501,0.863636
7,0.510878,0.829868,0.644680,0.840909
8,0.473951,0.827977,0.651624,0.863636
9,0.453459,0.844991,0.665820,0.886364
10,0.416379,0.867675,0.629540,0.886364
11,0.391160,0.884688,0.600644,0.901515
12,0.350003,0.879017,0.601717,0.886364
13,0.321017,0.899811,0.597626,0.878788
14,0.312605,0.907372,0.555824,0.878788
15,0.332498,0.905482,0.563606,0.893939
16,0.276167,0.905482,0.593804,0.840909
17,0.275638,0.892250,0.575520,0.893939
18,0.237901,0.926276,0.550969,0.893939
19,0.243492,0.943289,0.571922,0.909091
20,0.235041,0.930057,0.578628,0.901515
21,0.192678,0.948960,0.509119,0.909091
22,0.186946,0.956522,0.514465,0.909091
23,0.171814,0.952741,0.550020,0.909091
24,0.167793,0.960302,0.542728,0.863636
25,0.176134,0.933837,0.517163,0.901515
26,0.146116,0.952741,0.527949,0.909091
27,0.166928,0.956522,0.565617,0.893939
28,0.118989,0.973535,0.555087,0.924242
29,0.132557,0.967864,0.551305,0.916667
30,0.104849,0.971645,0.574341,0.909091
31,0.100782,0.988658,0.577604,0.916667
32,0.114331,0.982987,0.582494,0.909091
33,0.092244,0.984877,0.569387,0.909091
34,0.093024,0.973535,0.579158,0.886364
35,0.096421,0.962193,0.537858,0.901515
36,0.074220,0.990548,0.594038,0.901515
37,0.078565,0.992439,0.596623,0.901515
38,0.076385,0.986767,0.575785,0.916667
39,0.070192,0.984877,0.584442,0.916667
40,0.058865,0.992439,0.623531,0.909091
41,0.061046,0.982987,0.581474,0.924242
42,0.050028,0.994329,0.587520,0.916667
43,0.063166,0.996219,0.575168,0.916667
44,0.051635,0.992439,0.656189,0.924242
45,0.052126,0.994329,0.563722,0.909091
46,0.045521,0.994329,0.497474,0.916667
47,0.049601,0.992439,0.550550,0.916667
48,0.036436,0.998110,0.550983,0.916667
49,0.043777,0.998110,0.582556,0.916667
50,0.034742,0.996219,0.628810,0.893939
