epoch,train_loss,train_acc,val_loss,val_acc
1,1.707249,0.120983,1.108185,0.113636
2,1.032829,0.398866,0.882158,0.719697
3,0.982999,0.597353,0.779868,0.787879
4,0.793800,0.676749,0.680205,0.878788
5,0.798648,0.746692,0.654767,0.863636
6,0.728076,0.788280,0.648240,0.871212
7,0.674356,0.818526,0.661126,0.886364
8,0.610934,0.812854,0.639148,0.878788
9,0.583837,0.843100,0.616514,0.878788
10,0.585698,0.829868,0.600707,0.871212
11,0.587783,0.837429,0.575986,0.893939
12,0.584691,0.829868,0.591788,0.886364
13,0.604668,0.846881,0.600007,0.886364
14,0.569456,0.858223,0.574037,0.886364
15,0.572783,0.850662,0.605023,0.878788
16,0.520657,0.875236,0.560993,0.863636
17,0.573024,0.829868,0.610158,0.856061
18,0.581366,0.829868,0.629649,0.886364
19,0.594963,0.833648,0.600553,0.878788
20,0.521126,0.862004,0.600095,0.886364
21,0.546196,0.839319,0.585865,0.871212
22,0.565287,0.865784,0.553634,0.878788
23,0.542118,0.882798,0.548942,0.901515
24,0.508196,0.882798,0.570441,0.856061
25,0.577471,0.833648,0.577433,0.871212
26,0.543427,0.862004,0.648128,0.871212
27,0.532850,0.850662,0.661511,0.863636
28,0.535318,0.854442,0.592758,0.893939
29,0.553525,0.837429,0.565341,0.886364
30,0.505061,0.862004,0.572158,0.856061
