epoch,train_loss,train_acc,val_loss,val_acc
1,1.283587,0.457467,1.180227,0.727273
2,0.898131,0.582231,1.031722,0.803030
3,0.698181,0.729679,0.832101,0.825758
4,0.604255,0.799622,0.741987,0.803030
5,0.562415,0.824197,0.733971,0.863636
6,0.504060,0.873346,0.695800,0.863636
7,0.418368,0.873346,0.649831,0.833333
8,0.373183,0.896030,0.625232,0.856061
9,0.383231,0.880907,0.615187,0.878788
10,0.361972,0.899811,0.619789,0.856061
11,0.331513,0.901701,0.608712,0.833333
12,0.304387,0.890359,0.595454,0.878788
13,0.273631,0.939509,0.568654,0.863636
14,0.254250,0.920605,0.575738,0.878788
15,0.246246,0.928166,0.595450,0.871212
16,0.210113,0.928166,0.528231,0.878788
17,0.200685,0.937618,0.530917,0.871212
18,0.197492,0.948960,0.590043,0.878788
19,0.155192,0.969754,0.550152,0.878788
20,0.151645,0.962193,0.530838,0.878788
21,0.152600,0.952741,0.580389,0.893939
22,0.127020,0.964083,0.577419,0.893939
23,0.130741,0.962193,0.558680,0.886364
24,0.109102,0.979206,0.567805,0.886364
25,0.109390,0.982987,0.628491,0.893939
26,0.095449,0.979206,0.652171,0.901515
27,0.103249,0.975425,0.658812,0.901515
28,0.105767,0.971645,0.626023,0.909091
29,0.082217,0.984877,0.637829,0.893939
30,0.086330,0.984877,0.589361,0.893939
31,0.063538,0.988658,0.620234,0.893939
32,0.063549,0.981096,0.669561,0.909091
33,0.077250,0.988658,0.656349,0.901515
34,0.063626,0.986767,0.645050,0.901515
35,0.059864,0.994329,0.741824,0.893939
36,0.068348,0.994329,0.643883,0.901515
37,0.067125,0.981096,0.652707,0.901515
38,0.064927,0.992439,0.619027,0.901515
39,0.054730,0.986767,0.675477,0.901515
40,0.065671,0.984877,0.669064,0.901515
41,0.047882,0.994329,0.737072,0.909091
42,0.037993,0.992439,0.770009,0.909091
43,0.049945,0.990548,0.743675,0.916667
44,0.038141,0.990548,0.712657,0.886364
45,0.035637,0.986767,0.710639,0.901515
46,0.039103,0.998110,0.671527,0.893939
47,0.036714,0.996219,0.627742,0.909091
48,0.034818,0.996219,0.760577,0.901515
49,0.026862,0.998110,0.797293,0.901515
50,0.032790,0.992439,0.736907,0.901515
