epoch,train_loss,train_acc,val_loss,val_acc
1,1.111780,0.504726,1.179871,0.757576
2,0.785407,0.708885,1.518088,0.765152
3,0.586664,0.856333,0.733360,0.757576
4,0.439809,0.801512,0.746017,0.750000
5,0.446101,0.858223,0.702920,0.840909
6,0.380100,0.877127,0.647086,0.568182
7,0.309639,0.894140,0.756250,0.689394
8,0.282931,0.916824,0.546074,0.787879
9,0.250878,0.918715,0.648424,0.712121
10,0.270818,0.909263,0.597393,0.886364
11,0.188211,0.941399,0.633461,0.901515
12,0.194176,0.926276,0.721573,0.719697
13,0.156884,0.947070,0.729663,0.909091
14,0.164756,0.948960,0.878183,0.704545
15,0.254763,0.897921,1.104518,0.507576
16,0.325154,0.829868,0.842073,0.522727
17,0.235549,0.914934,0.647570,0.901515
18,0.181021,0.943289,0.802593,0.901515
19,0.114465,0.965974,0.571285,0.886364
20,0.121903,0.960302,0.613146,0.856061
21,0.092768,0.964083,0.695656,0.924242
22,0.094531,0.975425,0.803238,0.878788
23,0.078049,0.984877,0.811768,0.780303
24,0.045901,0.982987,0.537101,0.878788
25,0.037077,0.984877,0.653181,0.916667
26,0.040275,0.994329,0.782146,0.916667
27,0.053232,0.984877,0.666855,0.818182
28,0.057562,0.975425,0.861229,0.606061
29,0.099691,0.971645,2.063735,0.833333
30,0.140371,0.960302,1.903824,0.522727
31,0.126395,0.964083,2.021901,0.856061
32,0.079862,0.975425,1.158860,0.757576
33,0.078404,0.964083,0.911138,0.909091
34,0.047664,0.990548,0.838805,0.871212
35,0.038627,0.990548,1.597028,0.757576
36,0.041815,0.982987,1.011351,0.848485
37,0.033358,0.992439,1.149103,0.909091
38,0.025738,0.992439,1.333655,0.886364
39,0.029579,0.988658,0.859795,0.886364
40,0.033068,0.992439,0.789743,0.848485
41,0.044880,0.984877,1.377276,0.659091
42,0.040350,0.977316,1.328647,0.871212
43,0.027564,0.984877,1.537298,0.878788
44,0.011354,0.998110,1.335964,0.901515
45,0.010651,0.996219,1.160308,0.893939
46,0.005028,1.000000,1.142946,0.909091
47,0.009879,1.000000,1.161794,0.795455
48,0.013624,0.998110,1.198803,0.916667
49,0.006030,1.000000,1.168697,0.909091
50,0.007526,1.000000,1.419339,0.863636
