epoch,train_loss,train_acc,val_loss,val_acc
1,2.013457,0.090737,1.801520,0.068182
2,1.869458,0.092628,1.957107,0.068182
3,1.839753,0.090737,1.918584,0.068182
4,1.803962,0.094518,1.831363,0.068182
5,1.701842,0.088847,1.755824,0.068182
6,1.647848,0.102079,1.671731,0.068182
7,1.557740,0.120983,1.618735,0.068182
8,1.531322,0.111531,1.564287,0.068182
9,1.434534,0.134216,1.496543,0.068182
10,1.496731,0.124764,1.437488,0.068182
11,1.349998,0.134216,1.387484,0.068182
12,1.393536,0.122873,1.335758,0.068182
13,1.329755,0.166352,1.301962,0.068182
14,1.301041,0.173913,1.260436,0.068182
15,1.181027,0.187146,1.229169,0.068182
16,1.198873,0.200378,1.196768,0.090909
17,1.178050,0.185255,1.163369,0.083333
18,1.138503,0.194707,1.138880,0.083333
19,1.161096,0.223062,1.113317,0.106061
20,1.109249,0.253308,1.088301,0.106061
21,1.048316,0.323251,1.062095,0.106061
22,1.088478,0.260870,1.041715,0.113636
23,1.026220,0.308129,1.020964,0.113636
24,1.069561,0.323251,0.994170,0.136364
25,1.028254,0.355388,0.972286,0.181818
26,1.047952,0.344045,0.955788,0.234848
27,0.992342,0.372401,0.939146,0.242424
28,1.032611,0.395085,0.920955,0.325758
29,0.945499,0.421550,0.911987,0.371212
30,0.908328,0.438563,0.896990,0.378788
31,0.878411,0.457467,0.886188,0.484848
32,0.913425,0.451796,0.875204,0.522727
33,0.883347,0.470699,0.870201,0.598485
34,0.891101,0.523629,0.857873,0.651515
35,0.863208,0.519849,0.842019,0.666667
36,0.933283,0.506616,0.827283,0.704545
37,0.862905,0.567108,0.818846,0.704545
38,0.877587,0.542533,0.819488,0.712121
39,0.847491,0.563327,0.806697,0.734848
40,0.825961,0.618147,0.796052,0.734848
41,0.793746,0.616257,0.783949,0.772727
42,0.884864,0.578450,0.780981,0.795455
43,0.906821,0.627599,0.761505,0.795455
44,0.818502,0.612476,0.764036,0.803030
45,0.749090,0.648393,0.759456,0.833333
46,0.806247,0.655955,0.747295,0.825758
47,0.760714,0.672968,0.741578,0.848485
48,0.773517,0.650284,0.736531,0.848485
49,0.811892,0.655955,0.737094,0.848485
50,0.810082,0.691871,0.726538,0.848485
51,0.747181,0.691871,0.718028,0.848485
52,0.713566,0.710775,0.708359,0.848485
53,0.754417,0.729679,0.708976,0.848485
54,0.724151,0.725898,0.704442,0.848485
55,0.781134,0.680529,0.688609,0.856061
56,0.691054,0.718336,0.687215,0.848485
57,0.687118,0.739130,0.685640,0.856061
58,0.659001,0.708885,0.699805,0.878788
59,0.680195,0.731569,0.684534,0.871212
60,0.693887,0.748582,0.672298,0.856061
61,0.655092,0.756144,0.670928,0.871212
62,0.664117,0.742911,0.675640,0.878788
63,0.661970,0.763705,0.666664,0.863636
64,0.673733,0.752363,0.671747,0.871212
65,0.681305,0.746692,0.662263,0.878788
66,0.687736,0.765595,0.661450,0.856061
67,0.645929,0.776938,0.668606,0.871212
68,0.632799,0.765595,0.653073,0.878788
69,0.670668,0.775047,0.648675,0.871212
70,0.734064,0.746692,0.655698,0.863636
71,0.634864,0.761815,0.643828,0.856061
72,0.615042,0.797732,0.654092,0.871212
73,0.653627,0.784499,0.648252,0.863636
74,0.600323,0.780718,0.630205,0.856061
75,0.661456,0.782609,0.635236,0.856061
76,0.672231,0.799622,0.637290,0.856061
77,0.604559,0.824197,0.630058,0.856061
78,0.587075,0.809074,0.630767,0.863636
79,0.627459,0.793951,0.625056,0.848485
80,0.634715,0.775047,0.629160,0.856061
81,0.652227,0.795841,0.636106,0.863636
82,0.595162,0.784499,0.628631,0.863636
83,0.612504,0.820416,0.638759,0.856061
84,0.567451,0.827977,0.625640,0.848485
85,0.574853,0.824197,0.625378,0.848485
86,0.563454,0.826087,0.631937,0.878788
