epoch,train_loss,train_acc,val_loss,val_acc
1,1.148611,0.378072,1.081532,0.750000
2,0.874903,0.620038,1.009752,0.772727
3,0.726589,0.739130,0.852830,0.825758
4,0.570913,0.797732,0.748918,0.840909
5,0.576541,0.826087,0.807129,0.765152
6,0.536254,0.810964,0.837952,0.734848
7,0.424231,0.858223,0.736752,0.848485
8,0.403166,0.886578,0.743831,0.674242
9,0.388234,0.856333,0.680147,0.863636
10,0.340141,0.896030,0.658093,0.863636
11,0.332664,0.890359,0.596844,0.871212
12,0.316126,0.894140,0.639953,0.856061
13,0.304835,0.903592,0.603314,0.856061
14,0.281487,0.905482,0.559338,0.871212
15,0.268349,0.916824,0.773464,0.719697
16,0.273702,0.867675,0.599919,0.863636
17,0.249998,0.909263,0.556292,0.901515
18,0.203612,0.943289,0.574565,0.878788
19,0.177310,0.941399,0.619527,0.848485
20,0.207848,0.950851,0.643264,0.901515
21,0.163025,0.950851,0.610493,0.893939
22,0.167168,0.956522,0.595181,0.901515
23,0.161963,0.956522,0.609638,0.901515
24,0.130165,0.960302,0.552240,0.893939
25,0.110012,0.971645,0.535093,0.886364
26,0.138135,0.945180,0.625407,0.901515
27,0.125544,0.964083,0.706972,0.901515
28,0.121126,0.967864,0.593041,0.810606
29,0.163237,0.941399,0.616980,0.901515
30,0.108397,0.975425,0.822622,0.893939
31,0.115852,0.975425,0.755600,0.909091
32,0.077326,0.981096,0.722420,0.909091
33,0.080510,0.986767,0.640269,0.901515
34,0.078971,0.977316,0.600238,0.871212
35,0.082662,0.973535,0.570737,0.909091
36,0.067999,0.979206,0.558581,0.909091
37,0.057306,0.988658,0.626352,0.893939
38,0.057324,0.992439,0.752940,0.909091
39,0.060499,0.982987,0.658236,0.893939
40,0.089756,0.971645,0.515370,0.901515
41,0.085106,0.969754,0.819588,0.583333
42,0.088548,0.967864,1.251300,0.863636
43,0.070930,0.982987,0.917453,0.901515
44,0.055982,0.981096,0.705572,0.909091
45,0.045625,0.990548,0.603518,0.939394
46,0.031458,0.996219,0.548414,0.893939
47,0.036820,0.996219,0.574291,0.871212
48,0.035124,0.994329,0.532194,0.901515
49,0.035949,0.994329,0.697321,0.893939
50,0.030109,0.998110,0.737229,0.901515
