epoch,train_loss,train_acc,val_loss,val_acc
1,1.383216,0.353497,1.226656,0.674242
2,1.020852,0.546314,1.071391,0.757576
3,0.926648,0.642722,0.910681,0.818182
4,0.820220,0.722117,0.832664,0.810606
5,0.742917,0.761815,0.804914,0.818182
6,0.717110,0.805293,0.777362,0.825758
7,0.714391,0.797732,0.765260,0.825758
8,0.694695,0.807183,0.750364,0.818182
9,0.637850,0.837429,0.730448,0.848485
10,0.635351,0.820416,0.711880,0.863636
11,0.657651,0.848771,0.703977,0.856061
12,0.607225,0.831758,0.691788,0.863636
13,0.628468,0.824197,0.681221,0.863636
14,0.619250,0.827977,0.678629,0.863636
15,0.592523,0.844991,0.671240,0.863636
16,0.594557,0.850662,0.668685,0.863636
17,0.594674,0.848771,0.669924,0.863636
18,0.597880,0.822306,0.669840,0.863636
19,0.585258,0.846881,0.669020,0.863636
20,0.620079,0.831758,0.668919,0.863636
21,0.573053,0.835539,0.663757,0.871212
22,0.603615,0.844991,0.661190,0.871212
23,0.581926,0.867675,0.668570,0.871212
24,0.567564,0.833648,0.659815,0.878788
25,0.542886,0.865784,0.659997,0.878788
26,0.612700,0.807183,0.665422,0.871212
27,0.537971,0.875236,0.653567,0.871212
28,0.566777,0.856333,0.652980,0.878788
29,0.584268,0.858223,0.650794,0.878788
30,0.554156,0.854442,0.650482,0.871212
31,0.548251,0.873346,0.650189,0.871212
32,0.575730,0.835539,0.650406,0.871212
33,0.548013,0.850662,0.650735,0.878788
34,0.553975,0.844991,0.649809,0.871212
35,0.552825,0.852552,0.649953,0.878788
36,0.561274,0.846881,0.645367,0.871212
37,0.555612,0.856333,0.639511,0.871212
38,0.547919,0.867675,0.642223,0.871212
39,0.569489,0.862004,0.640525,0.871212
40,0.538354,0.860113,0.631481,0.863636
41,0.500155,0.863894,0.638108,0.878788
42,0.493122,0.863894,0.633368,0.878788
43,0.517728,0.852552,0.631115,0.863636
44,0.535010,0.863894,0.636469,0.871212
45,0.507695,0.873346,0.639231,0.878788
46,0.507092,0.869565,0.637929,0.878788
47,0.515527,0.879017,0.636074,0.871212
48,0.530194,0.867675,0.632471,0.863636
49,0.522915,0.856333,0.630415,0.863636
50,0.498006,0.858223,0.627948,0.863636
51,0.527237,0.867675,0.627254,0.856061
52,0.502173,0.879017,0.623101,0.871212
53,0.515372,0.865784,0.620895,0.856061
54,0.508131,0.863894,0.620408,0.871212
55,0.519164,0.863894,0.622932,0.856061
56,0.531940,0.848771,0.625463,0.871212
57,0.507361,0.871456,0.617847,0.871212
58,0.497491,0.875236,0.622582,0.863636
59,0.500125,0.869565,0.622574,0.856061
60,0.509653,0.865784,0.623465,0.863636
61,0.489433,0.886578,0.620954,0.871212
62,0.497470,0.867675,0.619276,0.871212
63,0.466416,0.884688,0.611835,0.848485
64,0.501407,0.862004,0.615497,0.871212
65,0.476683,0.890359,0.615652,0.856061
66,0.478044,0.882798,0.617189,0.863636
67,0.464884,0.875236,0.611793,0.856061
68,0.471276,0.877127,0.616621,0.871212
69,0.474632,0.875236,0.620611,0.863636
70,0.434393,0.896030,0.608861,0.856061
71,0.487992,0.871456,0.607535,0.848485
72,0.478202,0.877127,0.609504,0.863636
73,0.486089,0.856333,0.606344,0.871212
74,0.465633,0.865784,0.607176,0.848485
75,0.466719,0.869565,0.600504,0.848485
76,0.453693,0.884688,0.600192,0.848485
77,0.441818,0.884688,0.598200,0.848485
78,0.435151,0.894140,0.600654,0.871212
79,0.456512,0.871456,0.599683,0.871212
80,0.464243,0.860113,0.599484,0.871212
81,0.461186,0.886578,0.599026,0.878788
82,0.449850,0.882798,0.592485,0.871212
83,0.437776,0.888469,0.592959,0.871212
84,0.459505,0.884688,0.588231,0.863636
85,0.449037,0.896030,0.592125,0.848485
86,0.446351,0.879017,0.589957,0.878788
87,0.453836,0.871456,0.595680,0.878788
88,0.441783,0.877127,0.599802,0.871212
89,0.429603,0.894140,0.595241,0.863636
90,0.431153,0.890359,0.595710,0.878788
91,0.434185,0.899811,0.594626,0.863636
