epoch,train_loss,train_acc,val_loss,val_acc
1,1.115536,0.270321,1.055234,0.356061
2,0.812030,0.725898,0.916372,0.780303
3,0.625222,0.803403,0.761493,0.848485
4,0.562876,0.786389,0.736176,0.795455
5,0.550759,0.814745,0.650554,0.840909
6,0.454104,0.858223,0.683612,0.818182
7,0.387504,0.903592,0.621187,0.825758
8,0.352274,0.892250,0.580828,0.803030
9,0.355090,0.871456,0.613233,0.803030
10,0.319472,0.869565,0.624661,0.848485
11,0.260257,0.922495,0.557864,0.848485
12,0.314711,0.931947,0.521209,0.848485
13,0.265368,0.916824,0.635356,0.795455
14,0.232647,0.922495,0.536874,0.856061
15,0.216554,0.945180,0.533556,0.878788
16,0.235183,0.939509,0.625799,0.886364
17,0.195847,0.941399,0.595496,0.871212
18,0.207571,0.945180,0.580735,0.840909
19,0.165009,0.947070,0.604301,0.893939
20,0.143392,0.971645,0.612403,0.901515
21,0.163375,0.958412,0.550366,0.871212
22,0.144211,0.948960,0.606158,0.878788
23,0.139035,0.950851,0.669547,0.878788
24,0.125066,0.969754,0.629582,0.871212
25,0.160066,0.962193,0.569897,0.871212
26,0.124652,0.971645,0.480954,0.871212
27,0.116022,0.979206,0.504410,0.893939
28,0.103697,0.969754,0.572421,0.886364
29,0.080663,0.977316,0.654727,0.909091
30,0.095098,0.982987,0.567802,0.893939
31,0.070328,0.986767,0.543900,0.893939
32,0.069663,0.975425,0.606386,0.901515
33,0.061312,0.992439,0.624818,0.909091
34,0.067959,0.992439,0.547280,0.916667
35,0.054903,0.981096,0.663426,0.909091
36,0.058381,0.984877,0.566969,0.901515
37,0.060854,0.990548,0.555829,0.931818
38,0.047061,0.994329,0.533123,0.909091
39,0.049395,0.992439,0.567050,0.878788
40,0.058026,0.992439,0.583819,0.901515
41,0.041885,0.998110,0.542619,0.901515
42,0.047043,0.998110,0.640567,0.886364
43,0.036868,0.996219,1.015938,0.871212
44,0.047360,0.984877,0.617331,0.901515
45,0.026798,0.996219,0.646462,0.878788
46,0.060195,0.986767,0.756872,0.916667
47,0.040039,0.990548,0.891630,0.893939
48,0.047838,0.990548,0.692919,0.893939
49,0.035820,0.988658,0.501777,0.924242
50,0.029854,0.994329,0.571193,0.916667
