epoch,train_loss,train_acc,val_loss,val_acc
1,1.381047,0.204159,1.137474,0.257576
2,1.048285,0.402647,0.940050,0.712121
3,0.979553,0.597353,0.824153,0.810606
4,0.774338,0.693762,0.775754,0.810606
5,0.737495,0.712665,0.766055,0.810606
6,0.649038,0.748582,0.698489,0.825758
7,0.626856,0.744802,0.711272,0.825758
8,0.679477,0.750473,0.671011,0.818182
9,0.587245,0.801512,0.664416,0.818182
10,0.600518,0.814745,0.644824,0.825758
11,0.556305,0.839319,0.643086,0.825758
12,0.560102,0.812854,0.619749,0.818182
13,0.473696,0.824197,0.585169,0.848485
14,0.474377,0.846881,0.612822,0.833333
15,0.443785,0.860113,0.576413,0.833333
16,0.451288,0.848771,0.579866,0.840909
17,0.395386,0.890359,0.590296,0.848485
18,0.399302,0.877127,0.622446,0.840909
19,0.408205,0.879017,0.576330,0.848485
20,0.395688,0.871456,0.556642,0.825758
21,0.378293,0.884688,0.564694,0.840909
22,0.354937,0.894140,0.528845,0.856061
23,0.326199,0.913043,0.555689,0.856061
24,0.381938,0.886578,0.579467,0.856061
25,0.333409,0.896030,0.531434,0.863636
26,0.287113,0.905482,0.552838,0.878788
27,0.307466,0.916824,0.561687,0.878788
28,0.308478,0.911153,0.552239,0.878788
29,0.251453,0.930057,0.535892,0.856061
30,0.266809,0.907372,0.571392,0.878788
31,0.268443,0.916824,0.564415,0.878788
32,0.253502,0.931947,0.528148,0.871212
33,0.261981,0.941399,0.599873,0.871212
34,0.251715,0.931947,0.584539,0.871212
35,0.231967,0.933837,0.569686,0.886364
36,0.258471,0.924386,0.581521,0.878788
37,0.211053,0.947070,0.535055,0.871212
38,0.227569,0.928166,0.586846,0.893939
39,0.221477,0.924386,0.544687,0.886364
40,0.184513,0.954631,0.540895,0.886364
41,0.213690,0.941399,0.540372,0.901515
42,0.181765,0.952741,0.555859,0.901515
43,0.170561,0.962193,0.531778,0.909091
44,0.182577,0.954631,0.581324,0.893939
45,0.184013,0.937618,0.549092,0.871212
46,0.161342,0.943289,0.587435,0.901515
47,0.182555,0.947070,0.546834,0.886364
48,0.158051,0.967864,0.514186,0.901515
49,0.190623,0.962193,0.610231,0.901515
50,0.152402,0.956522,0.553026,0.893939
