epoch,train_loss,train_acc,val_loss,val_acc
1,1.353867,0.194707,1.034988,0.553030
2,0.916660,0.542533,1.034187,0.787879
3,0.826974,0.716446,0.936919,0.787879
4,0.702019,0.793951,0.797997,0.840909
5,0.641763,0.822306,0.705013,0.856061
6,0.572030,0.826087,0.648057,0.848485
7,0.494924,0.822306,0.632638,0.856061
8,0.467810,0.848771,0.636278,0.871212
9,0.472321,0.839319,0.649834,0.871212
10,0.428248,0.863894,0.637730,0.878788
11,0.424000,0.892250,0.635043,0.878788
12,0.405689,0.882798,0.626963,0.878788
13,0.383198,0.884688,0.627252,0.893939
14,0.397644,0.897921,0.612234,0.893939
15,0.447563,0.869565,0.614887,0.878788
16,0.374422,0.903592,0.613021,0.886364
17,0.390392,0.882798,0.616443,0.893939
18,0.362274,0.905482,0.601734,0.893939
19,0.382338,0.884688,0.598183,0.878788
20,0.370274,0.897921,0.599835,0.878788
21,0.369991,0.880907,0.598318,0.886364
22,0.343067,0.897921,0.591029,0.878788
23,0.342346,0.888469,0.590569,0.886364
24,0.330426,0.916824,0.584929,0.901515
25,0.350633,0.894140,0.579724,0.886364
26,0.348576,0.886578,0.574579,0.878788
27,0.379881,0.888469,0.585590,0.878788
28,0.316514,0.909263,0.582013,0.878788
29,0.336665,0.892250,0.570332,0.878788
30,0.336143,0.888469,0.570147,0.878788
31,0.332635,0.896030,0.564177,0.878788
32,0.374020,0.890359,0.569843,0.886364
33,0.307548,0.905482,0.569084,0.893939
34,0.321373,0.907372,0.573801,0.886364
35,0.332672,0.909263,0.571424,0.878788
36,0.317464,0.907372,0.574570,0.901515
37,0.306895,0.907372,0.571144,0.893939
38,0.306811,0.922495,0.573805,0.886364
